DateTime,Currency,Impact,Event,,,
1/3/2010 15:15,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
1/3/2010 15:30,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
1/4/2010 10:00,EUR,Low Impact Expected,Italian Prelim CPI m/m,,,
1/4/2010 18:00,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
1/5/2010 10:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
1/5/2010 13:00,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
1/5/2010 20:30,EUR,Low Impact Expected,PPI m/m,,,
1/6/2010 19:00,USD,High Impact Expected,FOMC Meeting Minutes,,,
1/7/2010 6:00,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
1/7/2010 18:00,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
1/8/2010 7:30,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
1/8/2010 15:15,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
1/8/2010 19:40,USD,Low Impact Expected,President Obama Speaks,,,
1/11/2010 2:10,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
1/11/2010 10:16,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
1/13/2010 7:45,EUR,Low Impact Expected,French Final CPI m/m,,,
1/14/2010 7:00,EUR,Low Impact Expected,German Final CPI m/m,,,
1/14/2010 13:30,EUR,High Impact Expected,ECB Press Conference,,,
1/14/2010 20:30,EUR,Medium Impact Expected,Final CPI y/y,,,
1/14/2010 20:30,USD,High Impact Expected,CPI y/y,,,
1/14/2010 20:30,USD,High Impact Expected,Core CPI m/m,,,
1/14/2010 20:30,USD,Medium Impact Expected,CPI m/m,,,
1/15/2010 10:00,EUR,Medium Impact Expected,Final Core CPI y/y,,,
1/19/2010 20:30,USD,High Impact Expected,PPI m/m,,,
1/19/2010 20:30,USD,Low Impact Expected,FOMC Member Dudley Speaks,,,
1/19/2010 20:30,USD,Medium Impact Expected,Core PPI m/m,,,
1/20/2010 7:00,EUR,Medium Impact Expected,German PPI m/m,,,
1/20/2010 20:30,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
1/20/2010 20:30,USD,High Impact Expected,Philly Fed Manufacturing Index,,,
1/21/2010 9:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
1/21/2010 12:00,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
1/21/2010 16:14,USD,High Impact Expected,President Obama Speaks,,,
1/26/2010 20:30,USD,High Impact Expected,FOMC Statement,,,
1/26/2010 20:30,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
1/27/2010 20:29,EUR,Medium Impact Expected,German Prelim CPI m/m,,,
1/28/2010 2:00,USD,Medium Impact Expected,President Obama Speaks,,,
1/28/2010 13:30,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
1/28/2010 14:45,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
1/28/2010 20:59,USD,High Impact Expected,Fed Chairman Nomination Vote,,,
1/29/2010 10:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
1/29/2010 13:15,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
1/31/2010 20:30,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
2/1/2010 20:30,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
2/2/2010 10:00,EUR,Low Impact Expected,PPI m/m,,,
2/2/2010 20:30,USD,Low Impact Expected,Treasury Sec Geithner Speaks,,,
2/3/2010 17:00,USD,Medium Impact Expected,FOMC Member Warsh Speaks,,,
